Initial State,Search Algorithm,Heuristic,Found Solution,Time,Max Frontier Size
"[[7, 0, 1], [5, 6, 3], [2, 8, 4]]",A*,heuristic_manhattan,True,0.0036537647247314453,108
"[[7, 0, 1], [5, 6, 3], [2, 8, 4]]",A*,heuristic_misplaced_tiles,True,0.03975820541381836,1336
"[[7, 0, 1], [5, 6, 3], [2, 8, 4]]",A*,heuristic_euclidean,True,0.0072078704833984375,177
"[[7, 0, 1], [5, 6, 3], [2, 8, 4]]",Greedy,heuristic_manhattan,True,0.007031917572021484,251
"[[7, 0, 1], [5, 6, 3], [2, 8, 4]]",Greedy,heuristic_misplaced_tiles,True,0.00513005256652832,230
"[[7, 0, 1], [5, 6, 3], [2, 8, 4]]",Greedy,heuristic_euclidean,True,0.007959842681884766,244
"[[0, 1, 7], [2, 8, 4], [5, 6, 3]]",A*,heuristic_manhattan,True,0.02581501007080078,722
"[[0, 1, 7], [2, 8, 4], [5, 6, 3]]",A*,heuristic_misplaced_tiles,True,0.4087800979614258,10653
"[[0, 1, 7], [2, 8, 4], [5, 6, 3]]",A*,heuristic_euclidean,True,0.06865215301513672,1537
"[[0, 1, 7], [2, 8, 4], [5, 6, 3]]",Greedy,heuristic_manhattan,True,0.010659217834472656,198
"[[0, 1, 7], [2, 8, 4], [5, 6, 3]]",Greedy,heuristic_misplaced_tiles,True,0.0027990341186523438,127
"[[0, 1, 7], [2, 8, 4], [5, 6, 3]]",Greedy,heuristic_euclidean,True,0.0063288211822509766,199
"[[1, 8, 0], [7, 5, 4], [2, 3, 6]]",A*,heuristic_manhattan,True,0.027827024459838867,769
"[[1, 8, 0], [7, 5, 4], [2, 3, 6]]",A*,heuristic_misplaced_tiles,True,0.3900728225708008,10429
"[[1, 8, 0], [7, 5, 4], [2, 3, 6]]",A*,heuristic_euclidean,True,0.08990788459777832,1886
"[[1, 8, 0], [7, 5, 4], [2, 3, 6]]",Greedy,heuristic_manhattan,True,0.002900838851928711,113
"[[1, 8, 0], [7, 5, 4], [2, 3, 6]]",Greedy,heuristic_misplaced_tiles,True,0.005147218704223633,217
"[[1, 8, 0], [7, 5, 4], [2, 3, 6]]",Greedy,heuristic_euclidean,True,0.0074388980865478516,235
"[[6, 5, 3], [0, 7, 8], [2, 1, 4]]",A*,heuristic_manhattan,True,0.0068662166595458984,208
"[[6, 5, 3], [0, 7, 8], [2, 1, 4]]",A*,heuristic_misplaced_tiles,True,0.11383986473083496,3477
"[[6, 5, 3], [0, 7, 8], [2, 1, 4]]",A*,heuristic_euclidean,True,0.019299030303955078,461
"[[6, 5, 3], [0, 7, 8], [2, 1, 4]]",Greedy,heuristic_manhattan,True,0.003526926040649414,137
"[[6, 5, 3], [0, 7, 8], [2, 1, 4]]",Greedy,heuristic_misplaced_tiles,True,0.029507160186767578,1223
"[[6, 5, 3], [0, 7, 8], [2, 1, 4]]",Greedy,heuristic_euclidean,True,0.0062427520751953125,198
"[[1, 8, 5], [0, 7, 2], [6, 4, 3]]",A*,heuristic_manhattan,True,0.0008118152618408203,27
"[[1, 8, 5], [0, 7, 2], [6, 4, 3]]",A*,heuristic_misplaced_tiles,True,0.011700153350830078,219
"[[1, 8, 5], [0, 7, 2], [6, 4, 3]]",A*,heuristic_euclidean,True,0.0012059211730957031,32
"[[1, 8, 5], [0, 7, 2], [6, 4, 3]]",Greedy,heuristic_manhattan,True,0.0021660327911376953,87
"[[1, 8, 5], [0, 7, 2], [6, 4, 3]]",Greedy,heuristic_misplaced_tiles,True,0.012080907821655273,508
"[[1, 8, 5], [0, 7, 2], [6, 4, 3]]",Greedy,heuristic_euclidean,True,0.0022759437561035156,71
"[[0, 8, 5], [2, 7, 4], [6, 1, 3]]",A*,heuristic_manhattan,True,0.006745815277099609,213
"[[0, 8, 5], [2, 7, 4], [6, 1, 3]]",A*,heuristic_misplaced_tiles,True,0.15597009658813477,4737
"[[0, 8, 5], [2, 7, 4], [6, 1, 3]]",A*,heuristic_euclidean,True,0.017462968826293945,419
"[[0, 8, 5], [2, 7, 4], [6, 1, 3]]",Greedy,heuristic_manhattan,True,0.0010690689086914062,42
"[[0, 8, 5], [2, 7, 4], [6, 1, 3]]",Greedy,heuristic_misplaced_tiles,True,0.010874032974243164,456
"[[0, 8, 5], [2, 7, 4], [6, 1, 3]]",Greedy,heuristic_euclidean,True,0.0076978206634521484,237
"[[3, 2, 6], [5, 7, 4], [0, 8, 1]]",A*,heuristic_manhattan,True,0.011842727661132812,345
"[[3, 2, 6], [5, 7, 4], [0, 8, 1]]",A*,heuristic_misplaced_tiles,True,0.16164231300354004,4831
"[[3, 2, 6], [5, 7, 4], [0, 8, 1]]",A*,heuristic_euclidean,True,0.03623700141906738,722
"[[3, 2, 6], [5, 7, 4], [0, 8, 1]]",Greedy,heuristic_manhattan,True,0.003201007843017578,127
"[[3, 2, 6], [5, 7, 4], [0, 8, 1]]",Greedy,heuristic_misplaced_tiles,True,0.009901762008666992,413
"[[3, 2, 6], [5, 7, 4], [0, 8, 1]]",Greedy,heuristic_euclidean,True,0.007291078567504883,225
"[[1, 8, 6], [5, 3, 7], [2, 4, 0]]",A*,heuristic_manhattan,True,0.016438007354736328,475
"[[1, 8, 6], [5, 3, 7], [2, 4, 0]]",A*,heuristic_misplaced_tiles,True,0.16115307807922363,4883
"[[1, 8, 6], [5, 3, 7], [2, 4, 0]]",A*,heuristic_euclidean,True,0.03377103805541992,790
"[[1, 8, 6], [5, 3, 7], [2, 4, 0]]",Greedy,heuristic_manhattan,True,0.0032358169555664062,122
"[[1, 8, 6], [5, 3, 7], [2, 4, 0]]",Greedy,heuristic_misplaced_tiles,True,0.0029261112213134766,135
"[[1, 8, 6], [5, 3, 7], [2, 4, 0]]",Greedy,heuristic_euclidean,True,0.0021839141845703125,69
"[[2, 8, 5], [0, 3, 6], [1, 7, 4]]",A*,heuristic_manhattan,True,0.02342510223388672,504
"[[2, 8, 5], [0, 3, 6], [1, 7, 4]]",A*,heuristic_misplaced_tiles,True,0.09927701950073242,3279
"[[2, 8, 5], [0, 3, 6], [1, 7, 4]]",A*,heuristic_euclidean,True,0.027091026306152344,654
"[[2, 8, 5], [0, 3, 6], [1, 7, 4]]",Greedy,heuristic_manhattan,True,0.002348184585571289,95
"[[2, 8, 5], [0, 3, 6], [1, 7, 4]]",Greedy,heuristic_misplaced_tiles,True,0.017441749572753906,508
"[[2, 8, 5], [0, 3, 6], [1, 7, 4]]",Greedy,heuristic_euclidean,True,0.006915092468261719,219
"[[6, 7, 4], [8, 1, 2], [0, 5, 3]]",A*,heuristic_manhattan,True,0.01060795783996582,304
"[[6, 7, 4], [8, 1, 2], [0, 5, 3]]",A*,heuristic_misplaced_tiles,True,0.11903524398803711,3575
"[[6, 7, 4], [8, 1, 2], [0, 5, 3]]",A*,heuristic_euclidean,True,0.020786046981811523,494
"[[6, 7, 4], [8, 1, 2], [0, 5, 3]]",Greedy,heuristic_manhattan,True,0.006249904632568359,234
"[[6, 7, 4], [8, 1, 2], [0, 5, 3]]",Greedy,heuristic_misplaced_tiles,True,0.011111021041870117,481
"[[6, 7, 4], [8, 1, 2], [0, 5, 3]]",Greedy,heuristic_euclidean,True,0.009485006332397461,281
"[[0, 5, 8], [6, 7, 2], [4, 3, 1]]",A*,heuristic_manhattan,True,0.05019712448120117,1380
"[[0, 5, 8], [6, 7, 2], [4, 3, 1]]",A*,heuristic_misplaced_tiles,True,1.0376996994018555,20775
"[[0, 5, 8], [6, 7, 2], [4, 3, 1]]",A*,heuristic_euclidean,True,0.1301591396331787,2888
"[[0, 5, 8], [6, 7, 2], [4, 3, 1]]",Greedy,heuristic_manhattan,True,0.0015301704406738281,63
"[[0, 5, 8], [6, 7, 2], [4, 3, 1]]",Greedy,heuristic_misplaced_tiles,True,0.04240107536315918,1396
"[[0, 5, 8], [6, 7, 2], [4, 3, 1]]",Greedy,heuristic_euclidean,True,0.008008003234863281,248
"[[5, 1, 4], [2, 0, 7], [8, 3, 6]]",A*,heuristic_manhattan,True,0.05190920829772949,1445
"[[5, 1, 4], [2, 0, 7], [8, 3, 6]]",A*,heuristic_misplaced_tiles,True,0.4578380584716797,11745
"[[5, 1, 4], [2, 0, 7], [8, 3, 6]]",A*,heuristic_euclidean,True,0.11355066299438477,2355
"[[5, 1, 4], [2, 0, 7], [8, 3, 6]]",Greedy,heuristic_manhattan,True,0.002166748046875,87
"[[5, 1, 4], [2, 0, 7], [8, 3, 6]]",Greedy,heuristic_misplaced_tiles,True,0.011690855026245117,479
"[[5, 1, 4], [2, 0, 7], [8, 3, 6]]",Greedy,heuristic_euclidean,True,0.007277011871337891,225
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",A*,heuristic_manhattan,True,0.011754035949707031,361
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",A*,heuristic_misplaced_tiles,True,0.10111308097839355,3052
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",A*,heuristic_euclidean,True,0.028894901275634766,656
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",Greedy,heuristic_manhattan,True,0.00043892860412597656,19
"[[7, 4, 2], [3, 1, 5], [8, 0, 6]]",Greedy,heuristic_misplaced_tiles,True,0.008786916732788086,354
